col1,col2,col3,col4,col5,col6,col7,col8,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
0.07,13.79,0.184,0.018,2660.8,0.749,,0.374,0.041,107.405,,0.483,4412.675,0.763,0.38,0.427,1079.316,0.399,0.048
0.005,0.26,0.817,0.725,404.1,7.179,,0.24,0.938,484.643,,0.019,1192.914,0.205,13.349,0.263,2253.501,0.491,0.182
0.744,2.696,0.814,0.02,2.8,0.533,,0.135,0.469,221.634,,0.337,959.703,0.397,1.664,0.397,687.422,0.185,0.384
0.336,4.676,1.872,0.62,1272.6,0.421,,0.836,0.084,1314.081,,2.737,946.248,0.135,1.748,0.245,418.697,2.358,0.565
0,0.099,0.051,2.837,325.7,0.219,,1.029,0,41.162,,1.907,2014.167,7.511,0.015,0.271,46.981,0.355,3.893
0,1.216,5.901,2.86,1162.4,8.935,,0.554,3.051,82.298,,0.372,5.7,0.626,3.632,0.003,76.795,1.547,0.842
0.006,6.927,0,0.451,451.3,0.023,,0.393,1.24,108.099,,0.536,77.247,0.015,12.657,0.513,13.757,1.505,1.163
0.123,2.85,0.144,0.069,40.3,2.931,,1.029,0.04,1.176,,0.868,525.765,0.014,1.317,0.015,4164.382,0.043,0.102
0.601,2.421,0.974,1.421,2018.8,0.043,,1.835,0.444,2635.341,,0.576,1285.097,0.59,1.845,0.032,870.83,2.765,0.164
0,0.323,0.521,1.918,457.4,0.187,,0.141,0.097,699.711,,0.031,9.68,0.219,0.415,0.045,177.566,0.565,0.449
0.409,0.072,0.415,3.445,6827.3,0.106,,0.3,2.962,2.656,,0.782,455.377,0.715,4.859,1.621,6404.322,5.432,0.195
2.19,2.408,3.882,0.012,272.2,0.351,0.427,2.661,0.937,2637.55,,0.121,144.493,0.289,0.942,0.013,1437.496,0.014,2.822
0.192,2.435,6.302,0.404,283.5,1.27,0.843,0.003,0.301,832.31,,1.519,52.555,0.762,0.27,0.389,0.085,0.016,1.02
0.073,0.896,1.207,1.32,922.9,0.149,0.422,1.518,1.993,436.976,,0.353,40.364,0.349,0.001,0.138,4.822,1.21,3.47
0.002,2.025,0.001,0.649,2726.9,0.037,1.615,0.012,0.047,1258.393,,1.842,296.51,0.982,0.014,0.005,1266.993,1.397,0.087
0.024,1.546,1.268,0.37,663.6,3.102,0.247,0.534,0.009,0.718,,5.601,99.436,3.509,4.327,0.037,1861.47,1.071,4.025
3.153,4.741,0.954,0.375,766.1,0.06,0.225,3.16,0.017,818.993,,1.982,273.076,0.027,9.981,15.482,5519.794,0.087,3.187
0,2.896,0.643,0.545,2323.3,3.277,1.316,0.228,0.652,293.183,,3.403,3290.122,0.003,19.643,0.656,1365.319,3.209,2.77
0.211,6.57,5.601,2.309,5992.3,0.379,0.054,0.083,0.003,479.846,,0.001,95.597,0.204,12.459,0.001,47.714,2.711,0.486
0.001,1.479,0,0.629,1536.9,1.038,0.206,0.359,0.11,4.847,,0.048,2272.642,0.532,5.813,0.656,0.216,0.728,0.091
0.003,1.273,2.199,3.319,652,2.552,3.766,0.464,,565.236,,0.336,800.891,3.988,26.706,1.099,0.242,1.003,2.933
0.422,1.626,2.085,0.816,15940.5,3.414,5.185,0.113,,1566.276,,3.529,1281.413,0.514,0.024,0.932,545.349,15.626,0
0.011,1.844,0.606,0.2,1618.9,1.766,1.186,0.749,,2056.408,,0.548,150.893,0.876,1.027,0.319,0.843,2.193,2.322
4.44,5.263,0.022,1.506,22.1,1.592,0.801,0.008,,738.955,,3.651,1102.112,0.004,1.929,0.127,1058.662,0.157,1.555
1.631,0.405,1.422,0.004,10134.2,0.167,0.434,2.531,,2505.123,,2.57,139.24,1.033,2.249,0.085,748.789,9.385,0.009
0.021,2.65,0,0.489,11.9,0.816,0.176,3.998,,140.147,,3.299,529.445,0,2.544,0.486,386.903,0.077,0.105
1.097,1.152,4.733,0.085,799.3,1.241,0.021,0.498,,11.062,,1.259,379.213,0.182,0.031,0.143,6.155,0.324,0.176
0.302,3.812,0.015,0.461,1137.6,0.144,0.084,0.1,,3937.12,7.015,0.339,1220.963,0.129,0.692,0.005,16.553,0.274,0.102
0,1.307,0.912,0.004,5.9,0.227,0.569,1.731,,3.607,1.129,1.067,4514.205,2.793,2.8,0.056,1720.382,0.038,1.622
1.963,0.035,5.005,0.24,1820.2,2.723,0.029,0.044,,570.397,1.081,0.001,2003.519,0.09,0.001,0.03,81.187,1.636,0.166
0.006,3.597,3.199,0.086,129.6,0.155,0.002,1.587,,81.542,1.765,1.842,857.649,2.245,1.12,1.009,75.187,0.593,0.614
2.758,2.91,0.342,0.074,1654.1,0.461,5.608,2.318,,36.312,6.916,0.371,413.923,0.591,5.106,1.386,90.386,0.611,0.082
2.062,2.327,0.15,0.138,400,0.338,0.119,0.227,,2288.288,0.582,1.073,323.385,0.499,2.355,0.063,714.186,0.872,0.172
0.004,1.933,0.654,0,94.9,0.019,1.571,0.619,,1167.872,0.873,1.174,929.052,7.044,0.829,0.41,1877.089,0.366,0.437
0.055,10.143,1.36,0.29,5542.6,0.211,0.041,1.62,,543.765,0.45,0.38,519.376,4.926,5.832,0.78,2148.805,8.388,2.549
0.001,0.109,0.001,3.844,2858.4,0.061,2.771,0.052,,19.847,3.222,0.974,542.569,0.276,3.734,0.371,6588.417,2.166,0.541
0.428,1.049,0.059,0.606,1032,6.162,0.179,1.262,,153.455,0,0.215,629.131,0.067,0.652,0.852,1730.783,1.365,0.08
0.124,0.722,2.962,1.081,327.9,4.386,0.207,2.232,,5.644,1.561,0.32,794.463,1.646,26.487,2.091,36.373,0.107,3.273
0.015,0.062,4.355,0.193,1070.9,0.359,0.025,0.564,,1147.304,1.299,0.784,751.623,1.195,0.34,0.234,2233.662,0.792,1.036
0.077,1.009,0.351,0.569,569.2,0.194,0.469,0.861,,3677.597,0.04,0.258,1332.545,0.33,1.525,0.084,1456.652,0.854,0.506
3.368,1.042,0.434,6.532,1026.6,0.357,2.77,1.723,,340.684,0,0.215,1065.539,0.379,7.941,0.046,133.315,1.357,3.92
0.007,2.229,1.736,2.695,1181.1,0.004,0.82,0.024,,1766.701,0.109,0.118,108.976,0.008,1.887,0.012,652.123,1.802,0.927
0.009,0.081,0.012,5.581,210.9,0.404,1.58,0.011,,1927.118,0.026,6.087,149.281,2.059,22.224,0.082,925.679,0.237,3.971
0.038,0.64,0.296,3.804,1341.6,0.03,2.043,0.413,,5049.812,0.114,0.017,844.302,1.452,0.96,2.67,44.053,1.554,1.412
0.046,0.347,0.873,0.624,2340.2,2.675,0.624,1.285,,2974.835,3.52,0.264,2138.412,0.309,13.587,0.736,20.581,1.598,0.614
0.024,0.407,0.359,0.218,315.6,4.901,0.464,4.121,0.005,330.873,1.115,0.97,4644.926,1.006,0.698,0.047,3075.034,0.134,2.674
0.626,0.956,3.084,2.287,1456.7,1.715,10.717,0.703,0.654,73.246,0.051,4.47,767.358,0.514,0.062,3.689,295.888,1.776,0.031
0,7.464,1.893,0.016,115.2,0.602,1.193,0.99,0.73,37.15,4.298,0.111,2203.872,0.155,1.191,0.094,2183.357,0.894,0.16
0.001,5.795,0.754,0.004,6273.9,0.564,0.189,1.006,1.726,503.418,18.717,0.079,8.397,0.02,1.585,0.114,16.581,3.01,0.001
0.142,1.547,1.046,0.47,1879.5,0.978,0.651,0.667,0.268,238.305,5.307,0.289,1228.386,0.067,1.215,0.585,376.043,0.934,0.923
0,3.154,0.398,0.039,841.9,1.7,0.054,3.36,0.586,500.884,0.528,1.329,3.186,0.148,0.055,0.067,734.335,1.57,0.112
40.295,0.699,5.158,0.883,754.4,1.267,0.987,2.304,0.368,4109.262,0.002,0.032,233.431,0.572,2.083,0.424,925.659,0.98,0.31
0.023,3.857,1.393,0.741,16,0.778,0.001,6.237,2.422,3415.784,2.544,0.079,196.943,1.451,6.247,1.878,75.122,0.327,0.108
0.049,2.999,1.91,0,2026.1,0.068,0.118,0.628,1.037,309.066,7.7,1.027,41.361,1.153,0.083,0.017,2558.541,0.812,0.326
2.767,12.474,0.157,0.004,132.9,1.342,0.457,0.699,0.133,1105.367,11.535,0.076,403.046,0.012,6.361,0.623,233.719,0.237,1.936
6.055,2.927,2.045,0.138,2092,0.923,0.006,0.001,1.42,1591.336,0.039,0.149,213.854,0.79,10.446,1.176,0.003,2.966,1.109
1.018,4.844,0.005,0.028,2174.1,0.255,0.452,0.284,1.951,518.616,0.359,0.005,45.013,1.164,12.757,0.559,155.997,3.466,0.161
0.021,0.011,0.838,0.124,28,0.351,0.009,0.019,0.047,87.339,0.057,0.168,529.761,1.194,3.051,0,1054.359,0.017,0.704
0.093,0.451,0.794,0.051,1818.3,2.805,0.975,0.041,4.943,4794.602,3.189,1.073,0.137,0.043,0.979,0.041,1176.527,1.164,5.769
1.294,0.15,1.19,0.085,2,0.3,1.435,0.8,0.173,351.339,0.088,0.234,5827.591,0,9.315,0.003,46.697,0.017,0.213
1.193,0.264,4.035,0.331,400.7,0.012,3.302,2.987,0.059,22.235,0.014,0.089,489.087,0.126,5.368,0.863,18.473,0.489,1.526
2.991,3.662,0.56,0.598,49.3,0.003,0.009,0.002,0.516,1362.883,2.15,0.322,868.493,0.467,0.176,3.996,1089.769,0.42,0.014
0.047,6.928,0.136,0.893,3814.3,4.054,1.66,0.523,0.623,1311.517,16.24,0.013,293.883,0.002,0.46,0.018,427.738,1.386,0.161
0,3.668,0.229,0.031,4244.1,0.149,0.125,0.998,1.698,278.699,12.264,0.28,60.502,0.036,5.356,2.248,10.554,2.079,0.013
0.047,2.119,0.526,0.006,87.9,2.823,1.527,0.306,0.47,1988.908,1.003,0.336,305.498,0.707,6.002,0.128,592.281,0.372,0.026
37.624,0.01,0.546,0.856,4674.6,1.805,0.004,0.637,0.204,11.396,3.388,0.19,413.409,1.47,1.214,0,250.512,4.014,0.001
14.524,1.75,2.766,0.512,14.7,0.573,0.693,0.137,0.026,404.536,1.584,0.008,678.616,6.746,10.448,0.052,2839.507,0.038,0.002
2.457,0.704,0.071,0.901,114.3,0,0.326,0.506,0.001,171.636,1.063,0.128,693.945,0.148,7.831,0.084,1.28,0.013,1.855
0.094,0.667,2.555,6.395,3841,0.928,1.51,1.307,0.024,187.112,6.039,0.185,5978.091,1.31,1.004,1.743,3020.1,2.577,0.09
0.586,0.348,0.764,0.528,6728.3,0.998,0.427,0.175,0.35,1317.659,3.238,0.744,1.688,1.254,3.065,,127.417,6.314,0.984
4.029,2.495,0.546,0.527,1221.7,0.384,6.802,0.062,5.882,1743.664,,0.358,1885.794,0.426,12.435,,45.781,0.417,0.776
0.064,0.063,1.09,,4390.1,1.575,0.024,0.067,0.154,682.744,,0.051,1365.557,0.197,4.616,,12.713,3.463,1.894
2.08,1.104,0.352,,1080.4,0.005,3.958,0.089,0.859,177.805,,0.217,62.883,8.591,2.715,,44.388,1.431,1.035
0.001,28.638,0.778,,7071,2.193,0.371,0.819,1.308,1988.722,,0.1,189.039,0.461,10.553,,0.074,1.421,0.014
5.015,0.039,0.721,,1822.4,0.011,8.461,5.712,0.819,32.035,,4.959,1765.221,0.065,0.518,,2526.699,1.644,2.909
1.2,1.373,9.341,,1275.1,0.002,2.119,0.105,0.912,18.137,,0,386.461,0.349,2.223,,983.844,1.707,0.554
3.54,2.493,0.206,,2067.2,0.162,2.717,4.507,1.319,1063.381,,0.203,,0.274,3.257,,85.667,2.835,0.076
0,0.204,0.048,,8.2,0.004,0.025,0.223,1.704,42.892,,0.046,,1.49,0.278,,720.88,0.035,0.323
5.854,0.799,1.22,,426.8,0.371,0.419,0.992,0.431,2239.406,,0.985,,0.818,0.177,,10.17,0.153,3.457
2.147,0.874,0.18,,902.4,0.042,0.069,1.201,2.113,598.797,,1.549,,0.081,0.797,,10.813,1.182,0.803
0.762,0.015,0.139,,3039.5,0.553,1.226,2.568,0.624,880.072,,0.776,,0.733,22.211,,4026.229,2.642,0.475
2.173,1.021,4.402,,1015.5,0.714,0.066,0.936,0.418,241.134,,2.506,,0.007,2.081,,60.739,1.34,6.482
0,0.592,0.001,,690.6,1.891,0.779,0.312,1.002,415.972,,0.073,,0.355,17.146,,330.621,0.883,1.201
13.257,0.13,1.2,,369.4,0.818,3.626,0.794,0.067,47.405,,0.006,,0.255,1.976,,2327.345,0.41,0.5
5.569,0.01,4.519,,1411.8,2.478,0.427,1.883,0.072,1275.74,,0.995,,1.751,37.325,,1187.351,1.236,1.377
9.293,0.308,0.004,0.991,442,0.321,6.135,0.542,0.565,3246.696,,3.282,,0.068,3.873,,1049.218,0.544,0.037
0.024,5.033,0.134,1.624,4185.7,0.083,0.376,0.088,0.316,1383.449,,0.114,,0.243,0.155,0.001,3020.605,1.83,1.76
0.091,1.375,1.613,1.212,1273.5,0.038,0.023,0.041,0.142,9.381,0,0.114,,6.436,4.536,0,1349.785,1.706,0.142
2.903,1.05,0.432,0.036,338.3,0.218,2.106,0.086,0.024,125.261,1.986,0.007,,0.035,5.045,0.607,245.158,0.087,4.606
15.28,0.45,0.131,0.365,1123.8,0.31,0.765,0.006,0.044,1504.785,0.131,0.149,,0.562,4.627,0.609,1429.357,1.269,0.565
0.017,2.176,1.116,3.189,376.6,0.549,1.529,0.077,0.869,1059.728,0.541,0.107,,3.222,3.506,0.031,59.864,0.819,0.166
0,2.933,0.222,0.097,978,0.654,0.02,0.201,1.501,3.398,5.621,0.336,,0.939,5.49,0.218,1660.351,0.258,0.185
0.014,3.292,2.713,1.097,223,1.174,2.195,0.127,1.383,622.29,1.338,0.653,,0.099,1.215,0.109,4.617,0.729,0.525
0,4.858,2.814,0.17,436.5,0.87,0.024,1.834,0.845,110.248,6.278,1.195,,0.482,0.205,0.569,,0.009,1.295
0.17,0.44,1.353,0.239,28.2,0.356,0.056,0.129,1.041,417.733,0.527,0.031,,0.119,6.222,0.006,,0,0.065
0.537,0.779,2.65,0,700.4,0.001,0,1.538,2.12,1015.94,2.291,4.601,,0.322,1.989,1.704,,0.315,0.808
0.223,0.202,3.166,0.215,3438.9,0.02,,0,0.004,14.339,1.593,3.127,,2.006,4.742,4.214,,3.25,0.138
12.125,0.455,3.131,0.036,1857,0.016,,0.688,1.171,591.976,3.246,0.172,,1.264,0.048,0.032,,1.191,0.306
0.228,18.736,2.689,2.165,12314.2,0.87,,1.981,0.009,1.764,47.504,6.105,,0.236,10.228,0.529,,4.877,1.309
1.171,0.949,0,0.175,929,0.092,,0.019,1.561,107.084,0,0,,0.014,1.427,2.44,,1.23,2.992
18.252,2.154,0.529,0.316,1829.5,0.025,,0.022,1.118,0.053,0.005,0.645,,0.602,0.28,0.033,,2.496,0
0.054,0.111,0.45,0.371,1743.8,0.983,,0.132,0.906,1183.617,2.151,0.182,,3.865,31.198,0.225,,1.282,1.209
0,4.556,0.577,0.71,7192.4,0.058,,0.023,0.001,755.564,18.037,0.369,,0.257,9.842,0.204,,3.843,2.823
1.414,1.6,0.843,0.012,10.9,1.226,,1.29,0.148,898.516,1.423,0.283,,0.143,0.396,0.156,,0.039,0.146
3.895,4.293,2.61,0.01,1182.2,0.005,,1.206,0.148,561.834,0.693,0.556,,0.334,6.167,0.018,,2.182,0.018
0.041,0.08,3.05,1.064,1.2,0.104,,1.984,0.527,355.895,0.077,0.01,,0.889,11.94,2.873,,0.001,4.931
0.001,0.997,0.081,0.885,258.3,0.899,,1.259,0.109,81.818,0.172,2.948,,0.068,0.485,0.224,,0.486,0.006
1.305,1.576,0.686,0.47,2328.4,0.003,,0.012,0.558,89.154,6.013,0.362,,5.001,0.311,0.955,,1.223,1.208
1.368,0.27,0.001,2.359,1809.3,0.441,,0.313,0.088,4122.495,0.558,1.056,,0.228,0.004,0.316,,1.83,0.021
24.844,0.436,0.531,3.013,3809.7,3.734,,0.153,0.681,455.589,5.356,0.024,,0.004,12.901,1.349,1.031,2.671,0.377
0.724,0.761,1.017,0.098,815.3,2.502,,2.024,0,1600.17,0.002,1.146,,0.985,1.323,0.117,2.008,1.06,2.241
0.001,1.68,0.001,0,1693.7,1.1,,0.14,1.511,3.13,0.001,0.028,,0.444,0.172,0.434,0.156,2.229,1.003
0.173,0.088,2.526,1.332,272.2,0.416,,0.081,0.256,97.588,0.043,1.22,,0.063,2.282,0.426,0.764,0.299,0.115
0.018,7.142,1.85,0.006,986,1.812,,0.096,0.172,2.283,2.07,2.634,,0.002,1.416,0.003,0.166,2.342,0.885
0.265,10.665,5.289,0.779,3704.8,0.013,,0.006,1.108,326.424,20.755,0.019,,0.557,0.019,0.49,0.536,1.008,0.024
0,2.378,8.286,0.609,1.9,1.366,,0.005,1.393,1461.812,1.904,1.344,,0.185,2.401,0.082,0.97,0.101,0.137
0.024,0.276,0.716,3.783,400.2,0.127,0.341,0.549,0.022,690.985,1.042,0.678,,0.017,2.761,0.042,0.381,0.209,5.735
0.002,7.531,4.833,0.498,349.1,0.089,0.897,0.15,0.046,624.859,3.458,1.397,,1.079,1.96,0.317,1.387,1.389,1.931
0.025,0.355,0.142,0.708,479.3,0.008,1.759,2.838,0.05,1.505,0.01,2.401,,0.023,4.387,0.863,0.24,0.597,0.019
3.852,0.031,0.4,0.561,12.5,0.449,0.393,0.919,3.987,300.321,0.064,0.384,,1.159,1.147,0.44,2.755,0.004,0.343
0.253,3.731,0.099,0.255,1932.9,0.956,0.308,0.101,1.616,54.387,8.521,0.57,,0.037,1.063,3,0.855,0.68,1.296
27.808,0.381,0.138,0.33,3879.8,0.041,0.08,2.658,0.032,816.2,5.255,0.011,,0.88,5.687,0.096,4.617,2.758,0.563
0.175,4.141,0.007,0.392,3183.6,0.186,0.685,0.026,0.018,721.091,0.032,3.938,,0.197,0.475,0.633,1.14,4.439,1.683
0.005,4.998,1.688,1.624,31.9,0.048,0.256,0.723,2.531,673.33,3.185,0.089,,1.392,0.256,0.001,0.762,0.466,0.015
0.003,0.665,0.589,7.857,963.4,5.267,0.28,0.261,2.348,28.177,0.028,0.383,,0.781,0.038,0.854,2.584,1.185,0.475
4.71,2.703,0.17,0.036,332,0.003,0.015,0.558,0.362,1415.472,0.839,0.528,,3.46,3.684,0.873,0.044,0.828,2.502
11.151,0.589,0.258,0.027,3528,2.806,0.035,0.185,0.232,1294.896,5.485,0.01,,1.357,0.175,1.913,1.326,2.378,0.267
0.006,3.733,0.032,0.041,961.6,0.462,2.891,0.375,0.577,1028.312,0.65,0.121,,0.025,1.617,0.401,0.354,1.814,1.377
0.873,0.072,5.455,1.228,2.4,0.001,0.038,1.765,0.984,76.88,0.077,3.351,,0.502,2.264,0.184,0.491,0,4.028
0.653,1.881,2.32,0.232,1081.5,4.835,0.168,0.039,0.196,288.5,4.493,0.114,,0.443,1.527,0.065,0.354,0.402,0.016
0.004,0.428,0.003,2.252,2502.4,0.294,3.474,0.095,4.725,3307.388,3.917,0.613,,1.837,6.129,0.281,0.056,1.682,0.194
0.004,2.599,0.894,0.616,1033.6,0.918,0.965,0.302,1.025,126.618,5.328,0.081,,0,15.052,0.104,3.918,0.31,1.367
14.475,4.734,0.541,0.329,146.5,3.02,0.011,0.009,0.966,849.387,4.988,0.42,,0.412,1.481,0.448,1.661,0.024,0.069
2.838,2.735,2.018,0.803,738.1,0.702,0.018,0.002,1.263,545.784,4.857,1.708,,0.286,0.309,3.166,0.022,0.162,4.368
0.072,4.926,6.668,0.005,66,9.458,0.029,6.432,0.221,1.688,4.661,0.581,,0.129,0.091,0.001,2.468,0.079,2.929
0.115,1.92,0.26,1.857,604.7,0.276,0.713,3.406,0.061,1552.647,0.262,5.466,,0.012,0.432,1.215,0.062,1.07,0.059
2.189,0.004,3.03,0.127,85,0.746,0.573,0.528,0.053,2936.494,0.043,0.031,,0.106,10.139,7.364,1.134,0.079,0.076
3.607,3.335,4.064,0.688,5601.5,0.216,0,2.645,0.116,373.057,13.675,0.97,,0.016,4.866,0.682,0.065,3.039,1.527
9.751,4.508,3.661,0.334,1493.2,0.561,3.163,4.329,1.936,825.066,8.619,0.117,,0.156,9.981,1.245,0.995,0.392,2.534
3.295,3.755,0.289,1.626,341.2,0.218,1.895,0.088,1.887,332.445,1.356,0.606,,1.557,3.734,0.037,0.068,0.971,0.03
0.001,7.057,2.221,0.004,181.3,0.001,0.287,0.08,2.387,435.629,3.727,0.916,,0.345,0.664,0.045,0.171,1.014,2.237
0.007,1.113,0.78,2.737,1091.9,0.286,2.643,0.253,0.314,1479.696,0,0.557,,0.845,43.283,0.446,0.087,1.445,1.05
0.492,2.165,1.544,0.168,1725.5,0.428,0.413,,0.217,67.589,6.005,2.661,,0,16.457,0.911,0.259,0.742,0.012
0.669,0.449,3.356,0.386,565,2.129,0.012,,0.348,537.69,0.008,0.058,,0.021,25.782,1.064,0.645,0.712,2.836
1.891,7.349,0.102,0.454,2094.7,0.067,0.035,,0.791,700.25,13.306,0.01,,2.316,8.276,0.14,0.781,0.484,0.501
0.106,1.514,1.205,0.052,1385.9,0.289,0.029,,3.957,354.036,0,3.871,,1.619,0.406,0.897,2.297,1.861,0.322
2.165,4.966,0.795,0.026,272.5,0.011,0.866,,1.047,725.876,2.168,0.2,,0.079,0.35,0.296,1.416,0.992,0.041
1.478,1.039,0.278,1.297,134.1,7.192,0.341,,0.386,9.046,1.471,5.166,,0.05,30.36,1.063,1.413,0.01,1.547
0.059,0.085,0,1.893,217.4,0.407,0.591,,1.19,3038.526,0.026,2.402,,0,3.268,0.426,0.033,0.245,1.715
0.018,0.277,1.255,0.658,1642.7,0.049,0.22,,0.451,328.908,0.469,0.163,,0.335,0.683,4.511,0.023,1.68,0.086
0,0.121,0.339,0.082,2212.3,4.762,0.388,,2.427,118.962,2.654,0.025,,0,29.052,0.369,0,1.642,2.447
0.777,0.294,0.057,1.205,914.5,2.378,3.979,,0.214,2849.955,1.753,0.329,,1.407,0.172,3.053,0.204,0.562,0.309
0.009,3.277,0.793,0.138,2599.6,0.388,0.653,,0.431,671.087,0.019,0.142,,0.719,28.238,5.315,1.069,3.6,3.837
0,2.012,0.774,0.003,1734.8,0.055,2.238,,0.341,1097.914,0.004,4.363,,2.048,6.505,0.049,0.14,2.359,0.265
0,0.068,1.156,0.184,3284.2,0.004,0.163,,0.003,8813.101,1.929,8.382,,0.079,39.838,0.05,0.062,2.96,0.054
4.108,4.655,0.451,0.077,3497.7,2.703,0.689,,0.625,848.149,0.044,0.724,,0.148,3.719,0,0.294,4.902,0.091
0.894,1.352,0.316,1.618,1260.4,0.696,2.232,,0.746,2914.715,0,0.258,,3.415,0.458,1.723,0.196,1.686,3.168
0,1.799,0.081,1.419,15073.6,0.015,0.154,,3.775,1.191,5.266,0.217,,6.843,0.119,0.001,4.533,14.958,0.169
0.871,0.06,1.109,0.406,2772.8,0.009,1.578,,5.134,873.687,2.884,1.238,,0.003,0.313,1.407,5.499,2.155,0.695
0.27,0.22,0.836,0.001,1372.8,0.157,3.218,,0.031,13.057,0.405,1.001,,3.007,1.041,0.969,0.035,1.398,0.879
0,1.334,0.975,0.984,1247.1,0.041,1.864,4.623,0.031,7.736,0,0.635,,0.221,0.008,0.098,0.383,1.667,0.245
0.098,0.939,0.23,0.772,950.8,0.115,3.153,0.537,0.016,481.104,0.001,1.582,,0.02,13.244,0.078,0.016,1.25,0.127
0.303,2.478,2.016,0.636,2061.4,1.203,0.934,1.251,0.406,24.792,0.008,0.446,,0.017,1.589,0.031,0.266,2.825,1.719
0,0.245,1.81,2.888,3021.7,0,0.875,3.261,0.398,2033.531,3.92,3.836,,2.18,12.217,0.417,1.231,2.182,2.21
0.768,0.003,0.03,1.664,224.7,6.079,3.153,1.051,4.126,301.167,0.225,0.358,,0.099,0.024,1.023,0.009,0.177,0.371
0.021,0.045,0.083,0.188,6880.6,0.275,0.06,0.088,0.236,820.275,6.361,0.104,,1.034,21.78,0.544,2.555,5.539,2.895
10.684,9.215,0.657,0.165,7282.2,0.308,0.109,1.013,5.474,257.66,25.456,0.002,,2.616,2.725,0.45,0.087,3.12,1.93
0.013,1.081,0.345,0.56,1056.2,1.322,2.233,0.395,0.05,10.291,0,0.635,,3.561,2.633,2.178,0.682,1.399,1.122
5.265,3.375,4.005,0.589,587.2,0.733,0.117,0.147,0.026,297.271,0.836,2.436,,0.043,5.15,0.007,5.23,1.274,4.584
0.054,2.414,0.931,0.158,2028,0.535,0.941,0.624,10.119,3180.612,0.007,3.138,,2.065,4.241,0.059,0.037,2.773,0.178
0,0.856,1.021,0.173,11267.2,0.003,4.986,0.183,0.824,165.424,4.787,6.186,,0.838,9.881,0.214,0.01,10.819,0.114
12.343,0.098,5.626,0.065,1563.6,0.244,1.937,0.909,0.927,616.282,1.924,0.073,,2.068,0.086,0.819,0.779,1.15,0.587
0.34,4.205,0.001,0.024,3211.1,3.025,0.278,0.01,0.026,139.576,0.035,3.659,,0.273,0.055,1.837,0.286,4.484,1.8
0.053,1.43,0.02,0.039,2344.1,0.009,1.021,0.028,2.426,498.151,5.783,0.001,,0.018,5.83,0.498,2.463,1.264,7.145
0.002,0.693,0.729,1.929,9.4,0.003,4.18,0.212,1.264,1314.3,0.656,0.077,,1.551,1.822,1.134,2.144,0.011,1.298
3.96,4.591,0.518,0.578,22.9,1.705,0.085,0.186,0.54,1435.918,3.993,0.128,,0.887,6.167,1.835,0.141,0.129,0.12
0.083,6.305,0.826,0.625,13,1.207,0.174,0.233,0.534,1182.462,4.334,0.199,,0.232,0.081,0.332,0.07,0.473,0.019
